emoji,sentiment_score,positive,neutral,negative,description
🎸,0.528,0.536,0.456,0.008,GUITAR
🍹,0.6747967479674797,0.7154471544715447,0.24390243902439024,0.04065040650406504,TROPICAL DRINK
💫,0.512396694214876,0.5454545454545454,0.4214876033057851,0.03305785123966942,DIZZY SYMBOL
📚,0.3445378151260504,0.5294117647058824,0.2857142857142857,0.18487394957983194,BOOKS
😶,-0.14529914529914528,0.28205128205128205,0.2905982905982906,0.42735042735042733,FACE WITHOUT MOUTH
🌷,0.5517241379310345,0.5517241379310345,0.4482758620689655,0.0,TULIP
💝,0.6608695652173913,0.7304347826086957,0.2,0.06956521739130435,HEART WITH RIBBON
💨,0.391304347826087,0.4956521739130435,0.4,0.10434782608695652,DASH SYMBOL
🏈,0.543859649122807,0.6052631578947368,0.3333333333333333,0.06140350877192982,AMERICAN FOOTBALL
💍,0.49107142857142855,0.6339285714285714,0.22321428571428573,0.14285714285714285,RING
☔,0.2972972972972973,0.4864864864864865,0.32432432432432434,0.1891891891891892,UMBRELLA WITH RAIN DROPS
👸,0.6216216216216216,0.6756756756756757,0.2702702702702703,0.05405405405405406,PRINCESS
🇪,0.6330275229357798,0.6513761467889908,0.3302752293577982,0.01834862385321101,REGIONAL INDICATOR SYMBOL LETTER E
░,-0.04629629629629631,0.18518518518518517,0.5833333333333334,0.23148148148148148,LIGHT SHADE
🍩,0.39252336448598124,0.5327102803738317,0.32710280373831774,0.14018691588785046,DOUGHNUT
👾,0.3714285714285714,0.38095238095238093,0.6095238095238096,0.009523809523809525,ALIEN MONSTER
☁,0.3173076923076923,0.4519230769230769,0.41346153846153844,0.1346153846153846,CLOUD
🌻,0.5865384615384616,0.5961538461538461,0.3942307692307692,0.009615384615384616,SUNFLOWER
😵,0.08737864077669899,0.4077669902912621,0.27184466019417475,0.32038834951456313,DIZZY FACE
📒,0.0392156862745098,0.0392156862745098,0.9607843137254902,0.0,LEDGER
↿,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,UPWARDS HARPOON WITH BARB LEFTWARDS
🐯,0.49000000000000005,0.53,0.43,0.04,TIGER FACE
👼,0.3434343434343434,0.5151515151515151,0.31313131313131315,0.1717171717171717,BABY ANGEL
🍔,0.2857142857142857,0.4489795918367347,0.3877551020408163,0.16326530612244897,HAMBURGER
😸,0.422680412371134,0.5360824742268041,0.35051546391752575,0.1134020618556701,GRINNING CAT FACE WITH SMILING EYES
👶,0.44791666666666674,0.5833333333333334,0.28125,0.13541666666666666,BABY
↾,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,UPWARDS HARPOON WITH BARB RIGHTWARDS
💐,0.7578947368421053,0.7894736842105263,0.17894736842105263,0.031578947368421054,BOUQUET
🌊,0.5157894736842105,0.6,0.3157894736842105,0.08421052631578947,WATER WAVE
🍦,0.4736842105263158,0.6105263157894737,0.25263157894736843,0.1368421052631579,SOFT ICE CREAM
🍓,0.6914893617021277,0.723404255319149,0.24468085106382978,0.031914893617021274,STRAWBERRY
👇,0.25531914893617025,0.39361702127659576,0.46808510638297873,0.13829787234042554,WHITE DOWN POINTING BACKHAND INDEX
💆,0.2282608695652174,0.4891304347826087,0.25,0.2608695652173913,FACE MASSAGE
🍴,0.5543478260869565,0.5978260869565217,0.358695652173913,0.043478260869565216,FORK AND KNIFE
😧,-0.06521739130434784,0.32608695652173914,0.2826086956521739,0.391304347826087,ANGUISHED FACE
🇸,0.5274725274725275,0.6153846153846154,0.2967032967032967,0.08791208791208792,REGIONAL INDICATOR SYMBOL LETTER S
😮,0.2777777777777778,0.45555555555555555,0.36666666666666664,0.17777777777777778,FACE WITH OPEN MOUTH
▓,0.01111111111111111,0.03333333333333333,0.9444444444444444,0.022222222222222223,DARK SHADE
🚫,-0.4545454545454545,0.09090909090909091,0.36363636363636365,0.5454545454545454,NO ENTRY SIGN
😽,0.5909090909090909,0.7159090909090909,0.1590909090909091,0.125,KISSING CAT FACE WITH CLOSED EYES
🌈,0.5340909090909092,0.5909090909090909,0.3522727272727273,0.056818181818181816,RAINBOW
🙀,0.34090909090909094,0.5,0.3409090909090909,0.1590909090909091,WEARY CAT FACE
⚠,-0.06818181818181819,0.11363636363636363,0.7045454545454546,0.18181818181818182,WARNING SIGN
🎮,0.441860465116279,0.5348837209302325,0.37209302325581395,0.09302325581395349,VIDEO GAME
╯,-0.011904761904761918,0.21428571428571427,0.5595238095238095,0.2261904761904762,BOX DRAWINGS LIGHT ARC UP AND LEFT
🍆,0.41666666666666663,0.4880952380952381,0.44047619047619047,0.07142857142857142,AUBERGINE
🍰,0.4642857142857143,0.6190476190476191,0.2261904761904762,0.15476190476190477,SHORTCAKE
✓,0.2976190476190476,0.40476190476190477,0.4880952380952381,0.10714285714285714,CHECK MARK
👐,-0.024096385542168697,0.37349397590361444,0.2289156626506024,0.39759036144578314,OPEN HANDS SIGN
🙇,0.14457831325301207,0.43373493975903615,0.27710843373493976,0.2891566265060241,PERSON BOWING DEEPLY
🍟,0.3132530120481928,0.4819277108433735,0.3493975903614458,0.1686746987951807,FRENCH FRIES
🍌,0.4512195121951219,0.573170731707317,0.3048780487804878,0.12195121951219512,BANANA
💑,0.6829268292682926,0.7439024390243902,0.1951219512195122,0.06097560975609756,COUPLE WITH HEART
👬,-0.06097560975609756,0.2926829268292683,0.35365853658536583,0.35365853658536583,TWO MEN HOLDING HANDS
🐣,0.49382716049382713,0.6419753086419753,0.20987654320987653,0.14814814814814814,HATCHING CHICK
🎃,0.6172839506172839,0.691358024691358,0.2345679012345679,0.07407407407407407,JACK-O-LANTERN
▬,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.0,BLACK RECTANGLE
￼,-0.49382716049382713,0.04938271604938271,0.4074074074074074,0.5432098765432098,OBJECT REPLACEMENT CHARACTER
😟,0.07500000000000001,0.425,0.225,0.35,WORRIED FACE
